,Unnamed: 0,Restaurant Name,Number of Stars,City,Country,Price,Cuisine_type_1,Cuisine_type_1.1
1432,1432,Le Montgomerie,2,Courchevel, France,$$$$,, Creative
1433,1433,Le Puits St-Jacques,2,Pujaudran, France,$$$$,Creative,
1434,1434,Les Cèdres,1,Granges-les-Beaumont, France,$$$$,Classic Cuisine,
1435,1435,Prairial,1,Lyon, France,$$$,Modern Cuisine,
1436,1436,La Palmeraie - Château de Valmer,1,La Croix-Valmer, France,$$$$,Modern Cuisine,
1437,1437,Au Crocodile,1,Strasbourg, France,$$$$,Classic Cuisine,
1438,1438,Le Vivier,1,L'Isle-sur-la-Sorgue, France,$$$,Modern Cuisine,
1439,1439,Les Agitateurs,1,Nice, France,$$$,Creative,
1440,1440,La Madeleine,1,Sens, France,$$$,Modern Cuisine,
1441,1441,Frédéric Doucet,1,Charolles, France,$$$$,Modern Cuisine,
1442,1442,La Vieille Tour,1,Plérin, France,$$$,Modern Cuisine,
1443,1443,Le Figuier de Saint-Esprit,1,Antibes, France,$$$,Provençal,
1444,1444,Les Plaisirs Gourmands,1,Schiltigheim, France,$$$,Modern Cuisine,
1445,1445,1741,1,Strasbourg, France,$$$$,, Modern Cuisine
1446,1446,Apicius,1,Clermont-Ferrand, France,$$$,Creative,
1447,1447,Lamartine,1,Le Bourget-du-Lac, France,$$$,Modern Cuisine,
1448,1448,Les Rosiers,1,Biarritz, France,$$$,Modern Cuisine,
1449,1449,Choko Ona,1,Espelette, France,$$$,, Modern Cuisine
1450,1450,Le Restaurant des Rois - La Réserve de Beaulieu,1,Beaulieu-sur-Mer, France,$$$$,Modern Cuisine,
1451,1451,Pierre,1,Mâcon, France,$$$,Classic Cuisine,
1452,1452,Castel Marie-Louise,1,La Baule, France,$$$,Modern Cuisine,
1453,1453,Les Tables de Gaspard,1,Saint-Crépin, France,$$,, Modern Cuisine
1454,1454,Le Relais des Moines,1,Les Arcs, France,$$$,Modern Cuisine,
1455,1455,Quai des Saveurs,1,Hagondange, France,$$$,Modern Cuisine,
1456,1456,En Pleine Nature,1,Quint-Fonsegrives, France,$$$,Modern Cuisine,
1457,1457,Le Corot,1,Ville-d'Avray, France,$$$$,Creative,
1458,1458,Haut Bonheur de la Table,1,Cassel, France,$$,Modern Cuisine,
1459,1459,L'Auberge de St-Rémy-de-Provence - Fanny Rey & Jonathan Wahid,1,Saint-Rémy-de-Provence, France,$$$$,, Modern Cuisine
1460,1460,L'Aparté,1,Montrabé, France,$$$,Modern Cuisine,
1461,1461,La Table de Philippe Girardon,1,Chonas-l'Amballan, France,$$$$,Modern Cuisine,
1462,1462,La Closerie,1,Ansouis, France,$$$,Traditional Cuisine,
1463,1463,La Huchette,1,Replonges, France,$$$,Modern Cuisine,
1464,1464,Moulin de la Tardoire,1,Montbron, France,$$,Modern Cuisine,
1465,1465,Le Pavé d'Auge,1,Beuvron-en-Auge, France,$$$,Classic Cuisine,
1466,1466,Moulin de Rosmadec,1,Pont-Aven, France,$$$$,Modern Cuisine,
1467,1467,Maison Decoret,1,Vichy, France,$$$,Creative,
1468,1468,Les Oliviers,1,Bandol, France,$$$$,Modern Cuisine,
1469,1469,Vieux Pont,1,Belcastel, France,$$$,Modern Cuisine,
1470,1470,Le St-Placide,1,Saint-Malo, France,$$$,Creative,
1471,1471,Côté Jardin,1,Gien, France,$$$,, Creative
1472,1472,Toya,1,Faulquemont, France,$$$$,Creative,
1473,1473,Kasbür,1,Monswiller, France,$$$,Modern Cuisine,
1474,1474,Le Jardin des Plumes,1,Giverny, France,$$$$,Creative,
